"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"1","all","4 yr.","mnwk","no","all","All","LPM","(Intercept)",-8.29376986134779e-05,2.95529740855177e-06,-28.0640785504296,2.68972043235005e-173,NA,NA
"1.1","all","4 yr.","mnwk","no","all","All","LPM","policyTRUE",-3.86563121694139e-05,4.11450060792212e-07,-93.951407116053,0,NA,NA
"1.2","all","4 yr.","mnwk","no","all","All","LPM","age_grp16-19",0.000436325210624043,3.3492621997532e-06,130.27502315471,0,NA,NA
"1.3","all","4 yr.","mnwk","no","all","All","LPM","age_grp20-24",0.000346195779599865,3.02155767587201e-06,114.575267705242,0,NA,NA
"1.4","all","4 yr.","mnwk","no","all","All","LPM","age_grp25-34",0.000227822798532645,2.89912490324321e-06,78.5832988008839,0,NA,NA
"1.5","all","4 yr.","mnwk","no","all","All","LPM","age_grp35-44",0.000185636334857917,2.88768287404015e-06,64.2855683796723,0,NA,NA
"1.6","all","4 yr.","mnwk","no","all","All","LPM","age_grp45-54",0.000139811946754262,2.87826490100889e-06,48.5750796270541,0,NA,NA
"1.7","all","4 yr.","mnwk","no","all","All","LPM","age_grp55-64",9.05318093046352e-05,2.88045877385331e-06,31.4296493761398,7.96460750943158e-217,NA,NA
"1.8","all","4 yr.","mnwk","no","all","All","LPM","age_grp65-199",2.8614836142191e-05,2.87587046173439e-06,9.949973937607,2.5224933132883e-23,NA,NA
"1.9","all","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp1-3",0.000567603391662603,8.44027231393348e-07,672.494169086919,0,NA,NA
"1.10","all","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp4-6",0.00115247726427632,2.01956827845389e-06,570.655261608001,0,NA,NA
"1.11","all","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp7-9",0.00163727666865797,3.92129161074453e-06,417.535044874438,0,NA,NA
"1.12","all","4 yr.","mnwk","no","all","All","LPM","curr_pts_grp10-150",0.00227182587907363,5.59705972627878e-06,405.896308093189,0,NA,NA
"1.13","all","4 yr.","mnwk","no","all","All","LPM","month02",7.64133829044902e-05,9.9603719727325e-07,76.7173988217301,0,NA,NA
"1.14","all","4 yr.","mnwk","no","all","All","LPM","month03",9.3085974153719e-05,9.79908350731385e-07,94.994571772188,0,NA,NA
"1.15","all","4 yr.","mnwk","no","all","All","LPM","month04",8.5544043491051e-05,9.88016226058548e-07,86.5816180289956,0,NA,NA
"1.16","all","4 yr.","mnwk","no","all","All","LPM","month05",9.7597486203779e-05,9.86708007491895e-07,98.9122267811135,0,NA,NA
"1.17","all","4 yr.","mnwk","no","all","All","LPM","month06",8.19389901024041e-05,9.84644733283529e-07,83.2168063593448,0,NA,NA
"1.18","all","4 yr.","mnwk","no","all","All","LPM","month07",6.09168992822225e-05,9.6279325937643e-07,63.2710072375002,0,NA,NA
"1.19","all","4 yr.","mnwk","no","all","All","LPM","month08",2.15612635167264e-05,9.36100178936751e-07,23.0330727435778,2.17416473347126e-117,NA,NA
"1.20","all","4 yr.","mnwk","no","all","All","LPM","month09",0.000129768359521317,1.01349686396348e-06,128.040218115556,0,NA,NA
"1.21","all","4 yr.","mnwk","no","all","All","LPM","month10",0.000113068729520253,9.94796083664081e-07,113.660207732013,0,NA,NA
"1.22","all","4 yr.","mnwk","no","all","All","LPM","month11",0.000100704739263162,9.94487936832756e-07,101.262906801954,0,NA,NA
"1.23","all","4 yr.","mnwk","no","all","All","LPM","month12",-0.000148042894322171,8.18972156268518e-07,-180.766700295037,0,NA,NA
"1.24","all","4 yr.","mnwk","no","all","All","LPM","weekdayMonday",0.000146378907496876,7.09387324647562e-07,206.345535662905,0,NA,NA
"1.25","all","4 yr.","mnwk","no","all","All","LPM","weekdayTuesday",0.000193950497971812,7.32973683495085e-07,264.607723768452,0,NA,NA
"1.26","all","4 yr.","mnwk","no","all","All","LPM","weekdayWednesday",0.000217605104937923,7.44394818361069e-07,292.324851772912,0,NA,NA
"1.27","all","4 yr.","mnwk","no","all","All","LPM","weekdayThursday",0.000193425859234603,7.34182133766566e-07,263.457594973433,0,NA,NA
"1.28","all","4 yr.","mnwk","no","all","All","LPM","weekdayFriday",0.000150471651256063,7.12841821646214e-07,211.087013537686,0,NA,NA
"1.29","all","4 yr.","mnwk","no","all","All","LPM","weekdaySaturday",2.95221822169814e-05,6.47070667807823e-07,45.6243555545457,0,NA,NA
"2","all","4 yr.","mnwk","0-15","all","All","LPM","(Intercept)",-6.10097949381493e-05,6.64224719765236e-06,-9.18511358019206,4.1113270707732e-20,NA,NA
"2.1","all","4 yr.","mnwk","0-15","all","All","LPM","policyTRUE",-4.01027775296695e-06,5.70232082692894e-06,-0.703271154795185,0.481886791905372,NA,NA
"2.2","all","4 yr.","mnwk","0-15","all","All","LPM","curr_pts_grp1-3",4.67280267493409e-05,1.20479562406687e-05,3.87850236304871,0.000105101860073597,NA,NA
"2.3","all","4 yr.","mnwk","0-15","all","All","LPM","curr_pts_grp4-6",0.000176257219167583,3.87676862105952e-05,4.54649829267893,5.45461484281536e-06,NA,NA
"2.4","all","4 yr.","mnwk","0-15","all","All","LPM","curr_pts_grp7-9",0.000165267653729317,6.15539313450621e-05,2.68492442510052,0.00725462712883106,NA,NA
"2.5","all","4 yr.","mnwk","0-15","all","All","LPM","curr_pts_grp10-150",0.000961705208568284,0.000233753092542132,4.11419245028788,3.88538826710304e-05,NA,NA
"2.6","all","4 yr.","mnwk","0-15","all","All","LPM","month02",6.75473983144957e-06,2.75113472911575e-06,2.45525592038912,0.0140784410726704,NA,NA
"2.7","all","4 yr.","mnwk","0-15","all","All","LPM","month03",2.57121231255731e-05,4.30503189864414e-06,5.97257435738655,2.33542775263149e-09,NA,NA
"2.8","all","4 yr.","mnwk","0-15","all","All","LPM","month04",8.0807364996382e-05,7.36564325013293e-06,10.9708496939386,5.27843410203322e-28,NA,NA
"2.9","all","4 yr.","mnwk","0-15","all","All","LPM","month05",0.000149361204098951,9.76563599038495e-06,15.2945700869876,8.31682479198157e-53,NA,NA
"2.10","all","4 yr.","mnwk","0-15","all","All","LPM","month06",0.000270210678418348,1.32622323949615e-05,20.3744490649255,2.82513110733452e-92,NA,NA
"2.11","all","4 yr.","mnwk","0-15","all","All","LPM","month07",0.000253671173557296,1.2646124653098e-05,20.0592023656158,1.68113248222755e-89,NA,NA
"2.12","all","4 yr.","mnwk","0-15","all","All","LPM","month08",0.000320387209912492,1.41891675700594e-05,22.5797044351313,6.88422498569956e-113,NA,NA
"2.13","all","4 yr.","mnwk","0-15","all","All","LPM","month09",0.000363413227099,1.53573835683162e-05,23.6637462027554,8.55693181564523e-124,NA,NA
"2.14","all","4 yr.","mnwk","0-15","all","All","LPM","month10",0.000212928021515397,1.16244036628331e-05,18.3173285866006,6.02859054897191e-75,NA,NA
"2.15","all","4 yr.","mnwk","0-15","all","All","LPM","month11",0.000125038945912262,9.09109944738102e-06,13.7539960525109,4.82153763271824e-43,NA,NA
"2.16","all","4 yr.","mnwk","0-15","all","All","LPM","month12",1.62133753996108e-05,3.56308817345503e-06,4.55037164682038,5.35515767362724e-06,NA,NA
"2.17","all","4 yr.","mnwk","0-15","all","All","LPM","weekdayMonday",5.97823030649261e-05,9.65004014300918e-06,6.19503154173245,5.8274548465837e-10,NA,NA
"2.18","all","4 yr.","mnwk","0-15","all","All","LPM","weekdayTuesday",9.13876679483526e-05,1.02382988328066e-05,8.92605983090849,4.41489634494091e-19,NA,NA
"2.19","all","4 yr.","mnwk","0-15","all","All","LPM","weekdayWednesday",7.69074687463965e-05,9.97141082338462e-06,7.71279712656465,1.23095603081781e-14,NA,NA
"2.20","all","4 yr.","mnwk","0-15","all","All","LPM","weekdayThursday",7.36154377503014e-05,9.92923758473006e-06,7.41400707980972,1.22544427830875e-13,NA,NA
